"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"101","treatment:as.factor(date)","cold:2021-10-19-control:2021-10-12",0,-10.7539374999999,-11.8252402374438,-9.68263476255602,0
"102","treatment:as.factor(date)","hot:2021-10-19-control:2021-10-12",0,13.8308124999999,12.759509762556,14.9021152374438,0
"103","treatment:as.factor(date)","cold:2021-10-18-hot:2021-10-12",0,-24.2009374999998,-25.3698246158451,-23.0320503841546,0
"104","treatment:as.factor(date)","control:2021-10-18-hot:2021-10-12",0,-13.2392708333333,-14.4081579491785,-12.070383717488,0
"105","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-12",0,-24.4283124999998,-25.4996152374437,-23.3570097625559,0
"106","treatment:as.factor(date)","control:2021-10-19-hot:2021-10-12",0,-13.2004374999999,-14.2717402374438,-12.129134762556,0
"107","treatment:as.factor(date)","control:2021-10-18-cold:2021-10-18",0,10.9616666666666,9.91618224704513,12.007151086288,0
"108","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-18",0,24.1702083333332,23.1247239137117,25.2156927529546,0
"109","treatment:as.factor(date)","control:2021-10-19-cold:2021-10-18",0,11.0004999999999,10.0653903073237,11.9356096926761,0
"110","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-18",0,24.3573749999998,23.4222653073236,25.292484692676,0
"111","treatment:as.factor(date)","hot:2021-10-18-control:2021-10-18",0,13.2085416666666,12.1630572470451,14.254026086288,0
"112","treatment:as.factor(date)","cold:2021-10-19-control:2021-10-18",0,-11.1890416666666,-12.1241513593428,-10.2539319739904,0
"113","treatment:as.factor(date)","hot:2021-10-19-control:2021-10-18",0,13.3957083333332,12.4605986406571,14.3308180260094,0
"114","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-18",0,-24.3975833333332,-25.3326930260094,-23.462473640657,0
"115","treatment:as.factor(date)","control:2021-10-19-hot:2021-10-18",0,-13.1697083333333,-14.1048180260095,-12.2345986406571,0
"116","treatment:as.factor(date)","control:2021-10-19-cold:2021-10-19",0,11.2278749999999,10.4180462508173,12.0377037491826,0
"117","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-19",0,24.5847499999998,23.7749212508172,25.3945787491825,0
"118","treatment:as.factor(date)","hot:2021-10-19-control:2021-10-19",0,13.3568749999999,12.5470462508173,14.1667037491826,0
